dataset,weight_mode,controller,controller_label,metric,value,ci_low,ci_high,n_boot
ngsim_pooled,frequency,pi_tuned,Strong TTC,sat_gap_vs_star,0.04508191112266824,0.04401793331234796,0.04595918814238987,400
ngsim_pooled,frequency,pi_tuned,Strong TTC,delta90_penalty_vs_star_s,0.19999999999999996,0.1499999999999999,0.19999999999999996,400
ngsim_pooled,frequency,pi_tuned,Strong TTC,delta_rel90_penalty_vs_star_s,0.0,0.0,0.0,400
ngsim_pooled,frequency,pi_sd,Stopping-distance,saturation,0.9614463437666797,0.9605465987837645,0.9623179182576721,400
ngsim_pooled,frequency,pi_sd,Stopping-distance,delta_abs_q50_s,0.95,0.95,0.95,400
ngsim_pooled,frequency,pi_sd,Stopping-distance,delta_abs_q90_s,1.55,1.55,1.55,400
ngsim_pooled,frequency,pi_sd,Stopping-distance,delta_abs_q95_s,1.95,1.9,1.95,400
ngsim_pooled,frequency,pi_sd,Stopping-distance,delta_rel_q90_s,1.45,1.45,1.45,400
ngsim_pooled,frequency,pi_sd,Stopping-distance,sat_gap_vs_star,0.03292868189469944,0.03210238548181808,0.033699891880055274,400
ngsim_pooled,frequency,pi_sd,Stopping-distance,delta90_penalty_vs_star_s,0.050000000000000044,0.050000000000000044,0.050000000000000044,400
ngsim_pooled,frequency,pi_sd,Stopping-distance,delta_rel90_penalty_vs_star_s,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,400
ngsim_pooled,frequency,rss_longitudinal,RSS longitudinal,saturation,0.9542383474527943,0.9531156335965618,0.9551743605184282,400
ngsim_pooled,frequency,rss_longitudinal,RSS longitudinal,delta_abs_q50_s,0.95,0.95,0.95,400
ngsim_pooled,frequency,rss_longitudinal,RSS longitudinal,delta_abs_q90_s,1.6,1.6,1.65,400
ngsim_pooled,frequency,rss_longitudinal,RSS longitudinal,delta_abs_q95_s,2.25,2.2,2.35,400
ngsim_pooled,frequency,rss_longitudinal,RSS longitudinal,delta_rel_q90_s,1.45,1.45,1.45,400
ngsim_pooled,frequency,rss_longitudinal,RSS longitudinal,sat_gap_vs_star,0.0401366782085848,0.03932577862327273,0.04112777770174405,400
ngsim_pooled,frequency,rss_longitudinal,RSS longitudinal,delta90_penalty_vs_star_s,0.10000000000000009,0.10000000000000009,0.1499999999999999,400
ngsim_pooled,frequency,rss_longitudinal,RSS longitudinal,delta_rel90_penalty_vs_star_s,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,400
ngsim_pooled,severity,star,Upper bound,saturation,0.9724220103313826,0.9695845802154446,0.9749162625142834,400
ngsim_pooled,severity,star,Upper bound,delta_abs_q50_s,1.2,1.15,1.2,400
ngsim_pooled,severity,star,Upper bound,delta_abs_q90_s,1.85,1.85,1.9,400
ngsim_pooled,severity,star,Upper bound,delta_abs_q95_s,2.25,2.2,2.3,400
ngsim_pooled,severity,star,Upper bound,delta_rel_q90_s,1.8,1.75,1.8,400
ngsim_pooled,severity,star,Upper bound,sat_gap_vs_star,0.0,0.0,0.0,400
ngsim_pooled,severity,star,Upper bound,delta90_penalty_vs_star_s,0.0,0.0,0.0,400
ngsim_pooled,severity,star,Upper bound,delta_rel90_penalty_vs_star_s,0.0,0.0,0.0,400
ngsim_pooled,severity,pi,Weak TTC,saturation,0.46642792763871316,0.46311845508688476,0.46986861199736185,400
ngsim_pooled,severity,pi,Weak TTC,delta_abs_q50_s,,,,400
ngsim_pooled,severity,pi,Weak TTC,delta_abs_q90_s,,,,400
ngsim_pooled,severity,pi,Weak TTC,delta_abs_q95_s,,,,400
ngsim_pooled,severity,pi,Weak TTC,delta_rel_q90_s,1.65,1.65,1.65,400
ngsim_pooled,severity,pi,Weak TTC,sat_gap_vs_star,0.5059940826926694,0.5025533193163527,0.509107673563484,400
ngsim_pooled,severity,pi,Weak TTC,delta90_penalty_vs_star_s,,,,400
ngsim_pooled,severity,pi,Weak TTC,delta_rel90_penalty_vs_star_s,-0.15000000000000013,-0.15000000000000013,-0.10000000000000009,400
ngsim_pooled,severity,pi_tuned,Strong TTC,saturation,0.9114046630862112,0.9079849904274859,0.9146406928221391,400
ngsim_pooled,severity,pi_tuned,Strong TTC,delta_abs_q50_s,1.2,1.2,1.2,400
ngsim_pooled,severity,pi_tuned,Strong TTC,delta_abs_q90_s,2.25,2.2,2.35,400
ngsim_pooled,severity,pi_tuned,Strong TTC,delta_abs_q95_s,,,,400
ngsim_pooled,severity,pi_tuned,Strong TTC,delta_rel_q90_s,1.75,1.7,1.75,400
ngsim_pooled,severity,pi_tuned,Strong TTC,sat_gap_vs_star,0.061017347245171494,0.05935841728375303,0.06269583204305802,400
ngsim_pooled,severity,pi_tuned,Strong TTC,delta90_penalty_vs_star_s,0.3999999999999999,0.3500000000000001,0.5,400
ngsim_pooled,severity,pi_tuned,Strong TTC,delta_rel90_penalty_vs_star_s,-0.050000000000000044,-0.050000000000000044,0.0,400
ngsim_pooled,severity,pi_sd,Stopping-distance,saturation,0.9167022439013549,0.9137082011449614,0.9195309653393314,400
ngsim_pooled,severity,pi_sd,Stopping-distance,delta_abs_q50_s,1.2,1.2,1.2,400
ngsim_pooled,severity,pi_sd,Stopping-distance,delta_abs_q90_s,2.15,2.1,2.2,400
ngsim_pooled,severity,pi_sd,Stopping-distance,delta_abs_q95_s,,,,400
ngsim_pooled,severity,pi_sd,Stopping-distance,delta_rel_q90_s,1.7,1.7,1.7,400
ngsim_pooled,severity,pi_sd,Stopping-distance,sat_gap_vs_star,0.05571976643002774,0.05411261478838782,0.0573647255388614,400
ngsim_pooled,severity,pi_sd,Stopping-distance,delta90_penalty_vs_star_s,0.2999999999999998,0.25,0.30000000000000027,400
